aX,aY,aZ
0.259,0.349,-1.1
0.266,0.368,-1.154
0.248,0.416,-1.174
0.217,0.52,-1.171
0.184,0.574,-1.169
0.168,0.578,-1.16
0.151,0.568,-1.152
0.145,0.539,-1.161
0.142,0.545,-1.145
0.153,0.54,-1.137
0.162,0.533,-1.11
0.17,0.528,-1.089
0.178,0.505,-1.083
0.177,0.501,-1.059
0.183,0.5,-1.053
0.192,0.507,-1.052
0.196,0.509,-1.05
0.21,0.513,-1.052
0.215,0.506,-1.066
0.221,0.502,-1.087
0.224,0.51,-1.095
0.227,0.51,-1.121
0.225,0.511,-1.149
0.222,0.515,-1.16
0.219,0.518,-1.18
0.213,0.516,-1.194
0.208,0.516,-1.217
0.206,0.517,-1.241
0.208,0.523,-1.254
0.206,0.537,-1.275
0.204,0.543,-1.279
0.194,0.535,-1.307
0.191,0.531,-1.307
0.184,0.527,-1.304
0.183,0.525,-1.296
0.184,0.52,-1.278
0.181,0.51,-1.269
0.179,0.493,-1.259
0.178,0.491,-1.237
0.183,0.48,-1.229
0.186,0.471,-1.215
0.188,0.474,-1.193
0.19,0.469,-1.192
0.19,0.474,-1.175
0.199,0.47,-1.175
0.208,0.462,-1.168
0.212,0.458,-1.152
0.218,0.442,-1.149
0.218,0.426,-1.144
0.215,0.427,-1.114
0.213,0.426,-1.106
0.213,0.414,-1.102
0.212,0.413,-1.096
0.229,0.407,-1.056
0.24,0.387,-1.083
0.226,0.379,-1.084
0.224,0.373,-1.06
0.238,0.354,-1.071
0.245,0.354,-1.052
0.248,0.332,-1.031
0.253,0.322,-1.035
0.251,0.316,-1.001
0.251,0.308,-0.978
0.252,0.274,-0.99
0.255,0.276,-0.954
0.26,0.263,-0.942
0.27,0.252,-0.936
0.275,0.218,-0.953
0.283,0.214,-0.932
0.282,0.23,-0.904
0.287,0.234,-0.886
0.305,0.206,-0.936
0.318,0.173,-0.934
0.32,0.17,-0.896
0.341,0.171,-0.873
0.345,0.132,-0.892
0.343,0.158,-0.837
0.354,0.094,-0.878
0.314,0.193,-0.763
0.338,0.103,-0.796
0.353,0.042,-0.801
0.339,0.056,-0.765
0.342,0.018,-0.782
0.366,0.011,-0.789
0.379,0.015,-0.773
0.385,0.02,-0.753
0.387,0.021,-0.743
0.385,0.004,-0.72
0.379,-0.006,-0.7
0.387,-0.011,-0.689
0.401,-0.027,-0.677
0.403,-0.078,-0.689
0.406,-0.088,-0.681
0.419,-0.092,-0.669
0.43,-0.124,-0.657
0.58,-0.342,1.088
0.59,-0.317,1.103
0.597,-0.303,1.103
0.609,-0.314,1.112
0.618,-0.305,1.122
0.616,-0.281,1.141
0.61,-0.271,1.137
0.599,-0.273,1.116
0.596,-0.273,1.102
0.596,-0.271,1.102
0.603,-0.281,1.109
0.613,-0.285,1.112
0.625,-0.298,1.117
0.628,-0.304,1.12
0.628,-0.3,1.125
0.621,-0.298,1
0.605,-0.284,1.12
0.597,-0.275,1.112
0.58,-0.269,1.107
0.56,-0.262,1.092
0.55,-0.257,1.083
0.536,-0.255,1.083
0.521,-0.249,1.083
0.512,-0.241,1.085
0.508,-0.241,1.088
0.499,-0.24,1.09
0.495,-0.243,1.092
0.496,-0.244,1.089
0.496,-0.245,1.093
0.496,-0.244,1.098
0.497,-0.247,1.097
0.509,-0.254,1.094
0.516,-0.262,1.084
0.524,-0.265,1.082
0.528,-0.263,1.075
0.529,-0.26,1.065
0.534,-0.257,1.061
0.536,-0.25,1.049
0.542,-0.244,1.034
0.549,-0.241,1.025
0.551,-0.236,1.002
0.553,-0.233,0.981
0.568,-0.231,0.97
0.571,-0.236,0.946
0.579,-0.24,0.914
0.58,-0.241,0.897
0.581,-0.239,0.864
0.588,-0.233,0.841
0.596,-0.227,0.832
0.599,-0.229,0.803
0.608,-0.231,0.775
0.61,-0.244,0.762
0.61,-0.253,0.736
0.61,-0.256,0.721
0.607,-0.259,0.696
0.609,-0.256,0.672
0.611,-0.256,0.661
0.612,-0.262,0.637
0.61,-0.267,0.607
0.611,-0.271,0.574
0.611,-0.282,0.56
0.61,-0.285,0.527
0.61,-0.288,0.508
0.612,-0.285,0.468
0.61,-0.287,0.424
0.606,-0.284,0.405
0.608,-0.283,0.376
0.608,-0.278,0.356
0.604,-0.27,0.298
0.598,-0.267,0.251
0.586,-0.263,0.23
0.58,-0.259,0.188
0.567,-0.256,0.151
0.552,-0.248,0.137
0.549,-0.24,0.113
0.545,-0.239,0.093
0.543,-0.241,0.079
0.542,-0.246,0.05
0.543,-0.255,0.017
0.544,-0.268,0.002
0.543,-0.28,-0.033
0.541,-0.285,-0.068
0.536,-0.284,-0.093
0.533,-0.289,-0.128
0.533,-0.293,-0.166
0.529,-0.299,-0.188
0.526,-0.299,-0.237
0.521,-0.297,-0.288
0.508,-0.29,-0.334
0.491,-0.268,-0.357
0.478,-0.247,-0.392
0.472,-0.228,-0.425
0.453,-0.221,-0.455
0.446,-0.222,-0.479
0.438,-0.233,-0.471
0.396,-0.175,-0.498
0.437,-0.207,-0.502
0.421,-0.176,-0.475
0.375,-0.137,-0.5
0.363,-0.135,-0.515
0.358,-0.135,-0.506
0.386,-0.16,-0.49
0.41,-0.173,-0.491
0.419,-0.163,-0.506
0.446,-0.159,-0.516
0.463,-0.147,-0.545
0.467,-0.138,-0.591
0.472,-0.134,-0.641
0.464,-0.124,-0.665
0.457,-0.12,-0.705
0.44,-0.119,-0.739
0.417,-0.116,-0.751
0.405,-0.109,-0.775
0.376,-0.108,-0.796
0.346,-0.092,-0.802
0.333,-0.089,-0.808
0.304,-0.073,-0.873
0.298,-0.128,-0.832
0.285,0.04,-0.772
0.246,0.409,-1.37
0.26,0.429,-1.357
0.267,0.443,-1.326
0.28,0.445,-1.295
0.285,0.407,-1.284
0.281,0.387,-1.236
0.271,0.377,-1.201
0.264,0.379,-1.187
0.259,0.385,-1.153
0.255,0.38,-1.135
0.249,0.377,-1.121
0.247,0.384,-1.116
0.236,0.396,-1.124
0.224,0.423,-1.123
0.225,0.432,-1.127
0.229,0.439,-1.115
0.237,0.44,-1.112
0.234,0.459,-1.099
0.228,0.466,-1.092
0.218,0.473,-1.09
0.211,0.462,-1.088
0.206,0.458,-1.086
0.204,0.457,-1.068
0.208,0.456,-1.062
0.212,0.472,-1.06
0.209,0.49,-1.058
0.208,0.519,-1.061
0.206,0.528,-1.07
0.202,0.549,-1.076
0.199,0.573,-1.092
0.189,0.577,-1.125
0.181,0.597,-1.139
0.182,0.622,-1.172
0.187,0.634,-1.195
0.196,0.663,-1.226
0.201,0.678,-1.263
0.215,0.68,-1.282
0.224,0.688,-1.314
0.246,0.692,-1.338
0.275,0.688,-1.349
0.299,0.694,-1.362
0.307,0.698,-1.363
0.325,0.705,-1.358
0.334,0.694,-1.351
0.337,0.692,-1.327
0.336,0.673,-1.316
0.333,0.655,-1.287
0.326,0.649,-1.259
0.312,0.643,-1.241
0.304,0.64,-1.203
0.281,0.636,-1.185
0.262,0.623,-1.146
0.254,0.61,-1.11
0.239,0.581,-1.095
0.234,0.556,-1.069
0.22,0.544,-1.054
0.205,0.527,-1.045
0.202,0.511,-1.033
0.197,0.505,-1.025
0.193,0.502,-1.013
0.183,0.5,-1.008
0.171,0.512,-1.004
0.16,0.517,-0.995
0.16,0.519,-0.996
0.16,0.519,-1
0.157,0.52,-1.007
0.154,0.522,-1.021
0.153,0.534,-1.029
0.158,0.545,-1.058
0.166,0.548,-1.089
0.176,0.565,-1.104
0.178,0.57,-1.141
0.172,0.593,-1.159
0.167,0.61,-1.2
0.158,0.617,-1.243
0.153,0.628,-1.266
0.139,0.643,-1.311
0.134,0.647,-1.353
0.127,0.64,-1.381
0.123,0.637,-1.418
0.12,0.64,-1.451
0.118,0.643,-1.467
0.117,0.651,-1.488
0.116,0.658,-1.506
0.112,0.673,-1.51
0.112,0.68,-1.513
0.113,0.676,-1.517
0.117,0.675,-1.518
0.121,0.668,-1.516
0.117,0.668,-1.512
0.111,0.669,-1.494
0.109,0.666,-1.476
0.104,0.665,-1.463
0.102,0.659,-1.43
0.101,0.657,-1.405
0.101,0.654,-1.389
0.101,0.649,-1.358
0.106,0.646,-1.343
0.113,0.638,-1.315
0.118,0.63,-1.289
0.126,0.615,-1.275
0.138,0.612,-1.225
0.146,0.596,-1.22
0.141,0.592,-1.203
0.138,0.584,-1.148
0.149,0.563,-1.144
0.151,0.552,-1.115
0.159,0.511,-1.091
0.161,0.508,-1.076
0.164,0.488,-1.032
0.164,0.472,-1.03
0.16,0.469,-1.005
0.166,0.438,-0.996
0.165,0.435,-0.972
0.163,0.426,-0.956
0.167,0.401,-0.955
0.175,0.386,-0.953
0.18,0.406,-0.911
0.183,0.408,-0.881
0.598,-0.22,1.204
0.61,-0.212,1.214
0.625,-0.211,1.206
0.637,-0.205,1.205
0.64,-0.194,1.206
0.646,-0.191,1.207
0.632,-0.18,1.21
0.623,-0.162,1.198
0.631,-0.136,1.239
0.634,-0.162,1.221
0.633,-0.215,1.222
0.619,-0.224,1.227
0.617,-0.212,1.242
0.636,-0.2,1.28
0.636,-0.197,1.287
0.606,-0.176,1.279
0.584,-0.163,1.239
0.552,-0.164,1.208
0.537,-0.181,1.197
0.531,-0.196,1.19
0.524,-0.197,1.17
0.51,-0.193,1.162
0.498,-0.18,1.14
0.501,-0.179,1.13
0.507,-0.184,1.116
0.522,-0.204,1.113
0.525,-0.221,1.097
0.519,-0.225,1.073
0.529,-0.241,1.067
0.535,-0.255,1.053
0.551,-0.255,1.042
0.559,-0.261,1.035
0.561,-0.264,1.02
0.561,-0.257,0.994
0.561,-0.255,0.985
0.563,-0.256,0.972
0.566,-0.259,0.966
0.572,-0.252,0.943
0.57,-0.247,0.924
0.568,-0.241,0.909
0.566,-0.232,0.884
0.569,-0.232,0.855
0.579,-0.243,0.839
0.578,-0.241,0.813
0.58,-0.24,0.799
0.584,-0.241,0.772
0.59,-0.243,0.754
0.594,-0.249,0.747
0.595,-0.255,0.731
0.599,-0.259,0.711
0.607,-0.264,0.701
0.613,-0.271,0.687
0.626,-0.276,0.665
0.633,-0.284,0.655
0.64,-0.295,0.636
0.651,-0.3,0.615
0.657,-0.311,0.607
0.657,-0.319,0.584
0.659,-0.321,0.551
0.659,-0.329,0.533
0.659,-0.333,0.506
0.659,-0.339,0.491
0.659,-0.341,0.465
0.651,-0.34,0.445
0.646,-0.342,0.435
0.642,-0.346,0.423
0.638,-0.344,0.422
0.633,-0.342,0.407
0.629,-0.348,0.37
0.611,-0.346,0.357
0.608,-0.335,0.34
0.609,-0.338,0.311
0.61,-0.336,0.303
0.615,-0.351,0.282
0.617,-0.352,0.253
0.62,-0.361,0.242
0.619,-0.371,0.201
0.606,-0.379,0.175
0.612,-0.382,0.168
0.616,-0.392,0.132
